MOT;FREQUENCE
voulut;4
pr;2
piquera;1
pencha;1
nombreux;1
vieil;3
laisser;1
plumer;2
beaut;1
annon;1
rouill;1
gende;1
faire;1
fin;2
atroce;1
refermaient;1
belles;1
taloche;1
fit;3
voulait;2
dormaient;1
poule;2
pita;1
bourdonn;1
pleine;1
jours;1
absent;1
bois;7
perch;1
gisait;1
veilla;2
lev;1
endormit;2
vit;1
tourner;1
endormis;1
devraient;1
qu;7
treize;1
fuseaux;1
cour;7
effleurait;1
appelait;1
amour;1
an;1
coul;1
bonjour;1
manger;1
offrande;2
endormie;1
re;5
marches;1
pouvoir;1
treizi;1
lesquelles;1
grenouille;2
douze;1
quinze;1
faste;2
calma;1
ru;1
servante;2
regarder;1
calme;1
brusquement;1
envol;1
assise;2
venger;1
douzi;1
quinzi;1
monta;1
minuscule;1
tourna;1
br;1
pouvaient;1
teau;7
serrure;1
belle;10
diction;1
mit;2
venaient;1
porte;3
vinrent;1
cuisson;1
femmes;3
vres;1
rendit;1
ch;8
ci;1
femme;2
brunir;1
tait;9
tour;3
royaume;4
apprenti;3
cr;1
te;5
ti;2
cheveux;1
offrit;1
fendre;1
amis;1
offrir;1
pandit;1
tr;2
moignaient;1
assiettes;1
piqua;1
modeste;1
venu;1
vent;1
saluer;1
fille;6
raconter;1
allong;3
dit;2
lin;1
jour;4
vive;2
lit;1
yeux;2
fleurs;1
pronon;1
prit;1
famille;1
tranquille;1
tirer;1
chambres;1
bonne;1
autour;1
res;1
battit;1
pouvait;2
flamme;1
splendide;1
filait;1
bras;2
merveilleuses;1
es;7
aub;2
noces;1
veiller;1
lorsqu;3
taient;4
approchait;1
tachet;1
accroch;2
reine;8
monde;4
noire;1
couter;1
descendirent;1
coll;1
sages;3
sommeil;4
joyeusement;1
feuille;1
importance;1
entr;1
impossible;1
puissante;1
cis;1
alla;1
adoucir;1
toit;4
grands;1
arriva;2
connaissances;1
venus;1
termina;1
passer;1
baiser;1
jouvenceau;1
flottait;1
exauc;2
blesser;1
ressentit;1
prince;1
lamentaient;1
clara;1
clef;1
saisir;1
pouvions;1
longtemps;1
devenait;1
gr;1
tendait;1
grande;3
offrandes;1
colombes;3
prononc;2
cuisinier;3
reposaient;1
triste;1
curie;1
questionna;1
pays;1
colima;1
hautes;1
vers;1
nouveau;2
fait;1
fais;1
respiration;1
rent;11
cart;1
joie;1
nomm;1
mot;1
histoire;1
repris;1
rien;3
aupr;1
chiens;3
doigt;1
entoura;1
alanguissaient;1
invit;2
sombr;1
courut;1
reprit;1
remu;1
envoya;1
inspectant;1
atterr;1
revenir;1
chasse;2
curent;1
troisi;1
entendit;1
pine;1
poursuivit;1
brunissure;1
instant;1
rendaient;1
prot;1
file;1
coassa;1
salle;3
ger;1
arbres;1
sautille;1
pines;3
restaient;1
saut;1
rempli;1
trouvait;2
devaient;1
parvint;1
haut;1
chevaux;3
tard;1
chemin;1
ment;1
bougeait;1
cret;1
robe;1
mouches;3
regard;2
fortement;1
onzi;1
purent;1
resta;1
jouvenceaux;1
mourir;2
devait;2
enfant;5
queue;1
enfouie;1
donna;1
fut;6
cent;3
tomba;1
quitta;1
pleinement;1
voulaient;1
bain;1
commen;1
donner;1
aile;2
parla;1
vint;1
sortirent;1
peine;1
sommeillait;2
voir;2
entendait;1
feu;2
seule;1
entra;3
sage;1
piq;1
fasseyait;1
promulguer;1
voix;1
seulement;2
sens;1
tra;1
donn;2
fils;4
veux;1
venir;1
personne;1
tre;5
touch;1
heureux;1
lever;1
sort;2
ouvrant;1
crier;1
tise;1
homme;4
morte;2
plaisir;1
ne;10
affection;1
filer;1
derri;1
finit;1
tenait;1
regarda;1
dons;1
crains;1
bon;1
tent;1
champs;1
paupi;1
franchir;1
derniers;1
vertu;1
ensemble;2
mur;3
rester;1
pouvant;1
roi;16
richesse;1
devint;1
devrait;1
jeune;1
hocha;1
chose;1
devant;2
tenaient;1
plongea;1
ouvrit;2
dissuader;1
ann;5
fuseau;3
cro;1
rest;1
profond;2
vieille;4
or;1
tisse;1
alisa;1
haie;6
ans;2
haute;1
prairie;1
tombera;2
fillette;2
souhaiter;1
demi;1
dormant;7
application;1
accompli;1
mettras;1
pi;3
cessa;1
petite;3
