MOT;Occurence;Frequence
au-dessus;18;5.868735939486812E-4
trois;26;8.477063023703172E-4
mince;7;2.2822861986893157E-4
abrupt;4;1.3041635421081805E-4
impitoyable;3;9.781226565811353E-5
rois;2;6.520817710540902E-5
absolument;6;1.9562453131622705E-4
reconnaître;9;2.934367969743406E-4
tel;21;6.846858596067947E-4
tam-tam;6;1.9562453131622705E-4
intéressait;3;9.781226565811353E-5
indigènes;5;1.6302044276352254E-4
produit;4;1.3041635421081805E-4
rationalisme;11;3.586449740797496E-4
circular;4;1.3041635421081805E-4
célébrer;2;6.520817710540902E-5
vivons;4;1.3041635421081805E-4
célèbres;2;6.520817710540902E-5
semblaient;9;2.934367969743406E-4
visibles;3;9.781226565811353E-5
écriture;20;6.520817710540901E-4
inciter;2;6.520817710540902E-5
pouvoir;4;1.3041635421081805E-4
cubisme;5;1.6302044276352254E-4
enténébrés;4;1.3041635421081805E-4
rôle;5;1.6302044276352254E-4
trahirai;2;6.520817710540902E-5
purement;5;1.6302044276352254E-4
archéologie;20;6.520817710540901E-4
commission;4;1.3041635421081805E-4
résumé;6;1.9562453131622705E-4
enfoncée;3;9.781226565811353E-5
majesté;4;1.3041635421081805E-4
sombré;20;6.520817710540901E-4
émettre;2;6.520817710540902E-5
pied;13;4.238531511851586E-4
raide;4;1.3041635421081805E-4
the;6;1.9562453131622705E-4
trouvaient;9;2.934367969743406E-4
étonnante;2;6.520817710540902E-5
police;25;8.151022138176128E-4
enfoncés;3;9.781226565811353E-5
étranger;4;1.3041635421081805E-4
étranges;60;0.0019562453131622705
information;5;1.6302044276352254E-4
essayer;3;9.781226565811353E-5
gardé;3;9.781226565811353E-5
mystérieuse;18;5.868735939486812E-4
violent;3;9.781226565811353E-5
métallique;2;6.520817710540902E-5
rond;2;6.520817710540902E-5
singulière;4;1.3041635421081805E-4
réveil;6;1.9562453131622705E-4
tapissaient;2;6.520817710540902E-5
rédigé;9;2.934367969743406E-4
allures;2;6.520817710540902E-5
mieux;13;4.238531511851586E-4
rendait;5;1.6302044276352254E-4
glace;8;2.608327084216361E-4
spectateurs;2;6.520817710540902E-5
subconscient;3;9.781226565811353E-5
rédacteur;4;1.3041635421081805E-4
sang;14;4.5645723973786314E-4
résolus;6;1.9562453131622705E-4
spécialistes;7;2.2822861986893157E-4
résolut;2;6.520817710540902E-5
murmures;2;6.520817710540902E-5
sangs-mêlés;2;6.520817710540902E-5
meurtres;7;2.2822861986893157E-4
glorieuse;5;1.6302044276352254E-4
noire;18;5.868735939486812E-4
poèmes;3;9.781226565811353E-5
fuite;7;2.2822861986893157E-4
villageois;4;1.3041635421081805E-4
anonyme;3;9.781226565811353E-5
fallut;2;6.520817710540902E-5
représentation;4;1.3041635421081805E-4
chefs;2;6.520817710540902E-5
constatés;2;6.520817710540902E-5
society;5;1.6302044276352254E-4
monstre;38;0.0012389553650027714
entravaient;3;9.781226565811353E-5
constater;5;1.6302044276352254E-4
pendaient;2;6.520817710540902E-5
devenu;7;2.2822861986893157E-4
membres;31;0.0010107267451338398
hauteur;11;3.586449740797496E-4
devenait;3;9.781226565811353E-5
broussailles;2;6.520817710540902E-5
enquis;3;9.781226565811353E-5
exposé;4;1.3041635421081805E-4
actuelle;2;6.520817710540902E-5
société;17;5.542695053959766E-4
essayai;2;6.520817710540902E-5
explosion;4;1.3041635421081805E-4
éternel;2;6.520817710540902E-5
enfuir;2;6.520817710540902E-5
personnel;2;6.520817710540902E-5
artistes;17;5.542695053959766E-4
personnes;14;4.5645723973786314E-4
singuliers;2;6.520817710540902E-5
blocs;18;5.868735939486812E-4
emprunté;2;6.520817710540902E-5
