MOT;Occurence;Frequence
au-dessus;9;1.528584530724549E-4
préparé;7;1.188899079452427E-4
formules;4;6.79370902544244E-5
trois;18;3.057169061449098E-4
brouillard;2;3.39685451272122E-5
professionnels;3;5.0952817690818304E-5
coupable;9;1.528584530724549E-4
impitoyable;10;1.69842725636061E-4
belles;4;6.79370902544244E-5
prétend;2;3.39685451272122E-5
disproportion;2;3.39685451272122E-5
parcourant;2;3.39685451272122E-5
peignais;2;3.39685451272122E-5
absolument;16;2.717483610176976E-4
sagesse;17;2.8873263358130373E-4
reconnaître;26;4.415910866537586E-4
héroïsme;11;1.8682699819966712E-4
tel;72;0.0012228676245796392
intéressait;3;5.0952817690818304E-5
indigènes;2;3.39685451272122E-5
nécessaires;16;2.717483610176976E-4
indiquait;4;6.79370902544244E-5
produit;27;4.585753592173647E-4
coïncide;2;3.39685451272122E-5
réserves;3;5.0952817690818304E-5
polonais;3;5.0952817690818304E-5
visibles;3;5.0952817690818304E-5
jouent;2;3.39685451272122E-5
médiocres;5;8.49213628180305E-5
avis;22;3.7365399639933424E-4
pouvoir;71;0.0012058833520160331
tempes;2;3.39685451272122E-5
quitter;13;2.207955433268793E-4
carrière;11;1.8682699819966712E-4
révoltante;2;3.39685451272122E-5
élevés;4;6.79370902544244E-5
élever;21;3.566697238357281E-4
incontesté;2;3.39685451272122E-5
indigence;5;8.49213628180305E-5
manquerait;2;3.39685451272122E-5
accessible;2;3.39685451272122E-5
hypothèse;3;5.0952817690818304E-5
satisfaisait;2;3.39685451272122E-5
rôle;21;3.566697238357281E-4
vengeance;5;8.49213628180305E-5
élevée;10;1.69842725636061E-4
croissait;3;5.0952817690818304E-5
coupables;3;5.0952817690818304E-5
classique;4;6.79370902544244E-5
souffrances;8;1.358741805088488E-4
persévérance;8;1.358741805088488E-4
apparaît;12;2.0381127076327322E-4
exclusif;6;1.0190563538163661E-4
vis-à-vis;29;4.925439043445769E-4
miner;2;3.39685451272122E-5
territoriales;2;3.39685451272122E-5
prochaine;3;5.0952817690818304E-5
opposition;7;1.188899079452427E-4
purement;20;3.39685451272122E-4
éblouissante;2;3.39685451272122E-5
poussées;5;8.49213628180305E-5
bouche;8;1.358741805088488E-4
commission;10;1.69842725636061E-4
multiplication;5;8.49213628180305E-5
réalisées;3;5.0952817690818304E-5
résumé;2;3.39685451272122E-5
établi;6;1.0190563538163661E-4
majesté;6;1.0190563538163661E-4
aisément;5;8.49213628180305E-5
moralement;5;8.49213628180305E-5
cornu;2;3.39685451272122E-5
spécifiquement;2;3.39685451272122E-5
émettre;2;3.39685451272122E-5
pied;9;1.528584530724549E-4
vocation;4;6.79370902544244E-5
trouvaient;5;8.49213628180305E-5
étonnante;3;5.0952817690818304E-5
police;5;8.49213628180305E-5
enfoncer;2;3.39685451272122E-5
étranger;30;5.095281769081831E-4
nationales;9;1.528584530724549E-4
information;2;3.39685451272122E-5
citoyens;5;8.49213628180305E-5
ébranler;2;3.39685451272122E-5
dépeindre;2;3.39685451272122E-5
comprenaient;3;5.0952817690818304E-5
essayer;7;1.188899079452427E-4
admirons;2;3.39685451272122E-5
garde;11;1.8682699819966712E-4
sotte;2;3.39685451272122E-5
violent;4;6.79370902544244E-5
