MOT;Occurence;Frequence
étonnants;2;2.2366110868811577E-5
au-dessus;29;3.243086075977679E-4
formules;4;4.4732221737623154E-5
professionnels;3;3.3549166303217366E-5
coupable;9;1.0064749890965209E-4
abrupt;4;4.4732221737623154E-5
prétend;3;3.3549166303217366E-5
belles;4;4.4732221737623154E-5
rois;2;2.2366110868811577E-5
peignais;2;2.2366110868811577E-5
absolument;22;2.4602721955692733E-4
reconnaître;35;3.914069402042026E-4
tel;93;0.0010400241553997383
tam-tam;6;6.709833260643473E-5
indigènes;7;7.828138804084051E-5
indiquait;5;5.591527717202894E-5
rationalisme;11;1.2301360977846367E-4
coïncide;2;2.2366110868811577E-5
vivons;5;5.591527717202894E-5
semblaient;10;1.1183055434405789E-4
polonais;3;3.3549166303217366E-5
visibles;6;6.709833260643473E-5
écriture;20;2.2366110868811577E-4
inciter;2;2.2366110868811577E-5
pouvoir;75;8.387291575804341E-4
carrière;11;1.2301360977846367E-4
révoltante;2;2.2366110868811577E-5
incontesté;2;2.2366110868811577E-5
indigence;5;5.591527717202894E-5
manquerait;2;2.2366110868811577E-5
rôle;26;2.907594412945505E-4
satisfaisait;2;2.2366110868811577E-5
vengeance;5;5.591527717202894E-5
obtenues;2;2.2366110868811577E-5
croissait;3;3.3549166303217366E-5
coupables;3;3.3549166303217366E-5
trahirai;2;2.2366110868811577E-5
persévérance;8;8.946444347524631E-5
territoriales;2;2.2366110868811577E-5
prochaine;3;3.3549166303217366E-5
opposition;7;7.828138804084051E-5
poussées;5;5.591527717202894E-5
commission;14;1.5656277608168103E-4
résumé;8;8.946444347524631E-5
étable;2;2.2366110868811577E-5
établi;6;6.709833260643473E-5
enfoncée;3;3.3549166303217366E-5
majesté;10;1.1183055434405789E-4
sombré;20;2.2366110868811577E-4
cornu;2;2.2366110868811577E-5
émettre;4;4.4732221737623154E-5
pied;22;2.4602721955692733E-4
the;7;7.828138804084051E-5
trouvaient;14;1.5656277608168103E-4
étonnante;5;5.591527717202894E-5
enfoncer;3;3.3549166303217366E-5
enfoncés;3;3.3549166303217366E-5
étranger;34;3.802238847697968E-4
étranges;60;6.709833260643473E-4
information;7;7.828138804084051E-5
comprenaient;3;3.3549166303217366E-5
essayer;10;1.1183055434405789E-4
admirons;2;2.2366110868811577E-5
gardé;14;1.5656277608168103E-4
mystérieuse;19;2.1247805325370998E-4
sotte;2;2.2366110868811577E-5
rond;3;3.3549166303217366E-5
enlevé;2;2.2366110868811577E-5
manifestaient;4;4.4732221737623154E-5
rédigé;9;1.0064749890965209E-4
rejette;3;3.3549166303217366E-5
enleva;2;2.2366110868811577E-5
